Transaction_ID,Geo_Risk,Velocity_Risk,Device_Risk,Amount_Risk,Network_Risk,Behavioral_Risk,Final_Risk_Score,Decision
TXN_204,50,0,100,100,40,40,52,OTP
TXN_205,100,50,100,100,40,48,73,Block
TXN_206,100,50,100,100,0,48,67,OTP
TXN_207,100,50,60,100,40,0,60,OTP
TXN_208,100,0,60,100,0,0,44,Approve
TXN_209,100,0,60,100,40,40,56,OTP
TXN_210,100,0,60,50,40,52,50,Approve
TXN_211,90,50,100,100,40,0,64,OTP
TXN_212,100,0,60,100,0,0,44,Approve
TXN_213,90,0,60,100,40,0,48,Approve
TXN_214,100,50,100,100,0,0,60,OTP
TXN_215,100,50,60,100,40,0,60,OTP
TXN_216,100,50,60,50,0,62,55,OTP
TXN_217,100,0,100,100,40,0,56,OTP
TXN_218,100,0,60,100,40,0,50,Approve
TXN_219,50,0,60,100,40,0,40,Approve
TXN_220,100,0,60,100,40,0,50,Approve
TXN_221,100,0,60,100,40,52,57,OTP
TXN_222,100,0,60,100,40,48,57,OTP
TXN_223,100,0,100,50,40,48,55,OTP
TXN_224,100,0,100,100,0,48,57,OTP
TXN_225,100,0,60,50,0,0,36,Approve
TXN_226,100,50,60,0,40,40,51,OTP
TXN_227,100,0,60,100,40,0,50,Approve
TXN_228,50,50,60,100,0,52,51,OTP
TXN_229,90,50,60,100,0,0,52,OTP
TXN_230,50,0,100,100,0,52,47,Approve
TXN_231,90,0,100,100,40,48,61,OTP
TXN_232,50,0,100,100,0,40,46,Approve
TXN_233,100,0,60,50,40,62,51,OTP
TXN_234,100,0,60,100,0,0,44,Approve
TXN_235,100,0,100,100,0,48,57,OTP
TXN_236,100,0,60,100,0,0,44,Approve
TXN_237,90,0,100,0,40,48,46,Approve
TXN_238,100,0,100,100,40,0,56,OTP
TXN_239,100,0,60,100,0,0,44,Approve
TXN_240,100,0,100,100,0,0,50,Approve
TXN_241,100,0,60,100,40,0,50,Approve
TXN_242,100,50,60,100,40,48,67,OTP
TXN_243,100,0,60,100,40,0,50,Approve
TXN_244,100,0,100,50,40,0,48,Approve
TXN_245,90,0,60,50,0,48,41,Approve
TXN_246,100,0,60,50,40,48,49,Approve
TXN_247,100,0,60,100,40,0,50,Approve
TXN_248,100,0,60,100,0,48,51,OTP
TXN_249,100,50,100,50,40,62,67,OTP
TXN_250,100,0,60,100,40,0,50,Approve
TXN_251,100,0,60,100,40,0,50,Approve
TXN_252,90,50,100,50,0,48,57,OTP
TXN_253,100,0,100,100,0,0,50,Approve
TXN_254,100,50,100,100,40,62,75,Block
TXN_255,100,0,100,100,40,48,63,OTP
TXN_256,90,0,100,100,40,0,54,OTP
TXN_257,100,0,100,0,40,0,41,Approve
TXN_258,100,50,60,100,0,48,61,OTP
TXN_259,100,0,60,100,40,0,50,Approve
TXN_260,100,0,60,50,40,0,42,Approve
TXN_261,100,50,100,100,0,0,60,OTP
TXN_262,100,0,60,50,40,0,42,Approve
TXN_263,100,0,100,50,0,0,42,Approve
TXN_264,100,0,100,100,0,0,50,Approve
TXN_265,100,0,60,100,40,48,57,OTP
TXN_266,100,0,60,100,40,52,57,OTP
TXN_267,100,50,60,0,0,62,48,Approve
TXN_268,100,50,60,50,40,0,52,OTP
TXN_269,100,0,60,100,40,0,50,Approve
TXN_270,100,0,60,0,0,0,29,Approve
TXN_271,100,0,100,100,0,62,59,OTP
TXN_272,90,0,100,100,40,62,63,OTP
TXN_273,100,0,100,100,40,0,56,OTP
TXN_274,100,0,60,100,40,62,59,OTP
TXN_275,100,0,60,100,40,0,50,Approve
TXN_276,100,0,60,100,0,0,44,Approve
TXN_277,100,0,60,100,0,0,44,Approve
TXN_278,100,0,100,100,40,0,56,OTP
TXN_279,90,0,60,100,40,40,54,OTP
TXN_280,100,0,100,100,40,52,63,OTP
TXN_281,100,50,60,100,40,0,60,OTP
TXN_282,90,50,100,100,0,40,64,OTP
TXN_283,100,0,60,100,40,0,50,Approve
TXN_284,90,50,100,50,40,0,56,OTP
TXN_285,100,0,100,100,40,0,56,OTP
TXN_286,100,0,60,100,40,0,50,Approve
TXN_287,100,0,60,100,40,0,50,Approve
TXN_288,100,0,100,100,0,0,50,Approve
TXN_289,90,50,100,100,40,0,64,OTP
TXN_290,50,50,100,100,0,0,50,Approve
TXN_291,90,0,60,100,40,48,55,OTP
TXN_292,100,0,60,100,40,0,50,Approve
TXN_293,100,0,60,50,40,48,49,Approve
TXN_294,100,0,100,100,40,0,56,OTP
TXN_295,100,0,60,100,40,0,50,Approve
TXN_296,100,0,100,100,40,48,63,OTP
TXN_297,90,0,60,100,40,0,48,Approve
TXN_298,100,50,60,100,40,52,67,OTP
TXN_299,100,0,60,100,0,48,51,OTP
TXN_300,100,50,60,0,40,62,54,OTP
TXN_301,100,0,100,100,0,0,50,Approve
TXN_302,100,0,100,50,0,0,42,Approve
TXN_303,100,50,60,100,0,0,54,OTP
TXN_304,100,0,100,100,40,0,56,OTP
TXN_305,100,0,60,100,40,40,56,OTP
TXN_306,100,0,100,0,40,40,47,Approve
TXN_307,100,50,60,100,40,48,67,OTP
TXN_308,100,50,100,100,40,62,75,Block
TXN_309,100,0,60,50,40,48,49,Approve
TXN_310,100,0,100,100,40,0,56,OTP
TXN_311,100,50,100,50,0,40,58,OTP
TXN_312,100,0,100,50,40,0,48,Approve
TXN_313,90,0,100,100,40,62,63,OTP
TXN_314,90,0,60,100,40,48,55,OTP
TXN_315,100,0,100,100,40,0,56,OTP
TXN_316,100,50,100,50,40,0,58,OTP
TXN_317,100,0,100,100,0,52,57,OTP
TXN_318,100,0,100,50,40,0,48,Approve
TXN_319,100,0,100,0,40,0,41,Approve
TXN_320,100,50,100,0,40,0,51,OTP
TXN_321,50,0,100,100,40,0,46,Approve
TXN_322,100,0,100,100,40,0,56,OTP
TXN_323,50,0,100,100,0,0,40,Approve
TXN_324,90,50,100,100,0,48,65,OTP
TXN_325,100,0,60,100,40,0,50,Approve
TXN_326,100,0,60,100,40,48,57,OTP
TXN_327,100,0,100,100,40,48,63,OTP
TXN_328,100,0,60,100,0,0,44,Approve
TXN_329,100,50,100,100,40,0,66,OTP
TXN_330,100,0,100,100,0,52,57,OTP
TXN_331,50,0,60,100,40,0,40,Approve
TXN_332,100,0,100,100,40,48,63,OTP
TXN_333,50,0,60,50,40,0,32,Approve
TXN_334,100,0,60,100,40,0,50,Approve
TXN_335,50,0,60,100,0,0,34,Approve
TXN_336,90,0,60,50,40,0,40,Approve
TXN_337,50,0,60,100,40,52,47,Approve
TXN_338,90,0,60,100,40,48,55,OTP
TXN_339,100,50,100,100,40,0,66,OTP
TXN_340,100,0,100,70,0,62,54,OTP
TXN_341,100,0,60,100,40,0,50,Approve
TXN_342,100,50,60,100,0,0,54,OTP
TXN_343,100,0,60,100,0,0,44,Approve
TXN_344,50,50,60,100,40,40,56,OTP
TXN_345,100,0,100,50,40,62,57,OTP
TXN_346,100,0,60,100,40,0,50,Approve
TXN_347,100,0,60,100,40,48,57,OTP
TXN_348,100,0,60,50,0,62,45,Approve
TXN_349,100,0,100,100,0,48,57,OTP
TXN_350,100,0,60,100,40,0,50,Approve
TXN_351,100,0,100,50,0,48,49,Approve
TXN_352,90,0,100,100,40,48,61,OTP
TXN_353,100,50,60,100,0,48,61,OTP
TXN_354,90,0,100,100,40,0,54,OTP
TXN_355,100,0,100,100,40,0,56,OTP
TXN_356,100,50,60,100,40,40,66,OTP
TXN_357,100,50,60,100,0,0,54,OTP
TXN_358,100,0,60,100,0,48,51,OTP
TXN_359,100,50,60,100,40,62,69,OTP
TXN_360,100,0,100,100,0,0,50,Approve
TXN_361,100,50,60,50,0,52,54,OTP
TXN_362,90,0,60,100,0,48,49,Approve
TXN_363,100,0,100,100,40,0,56,OTP
TXN_364,100,0,100,100,0,0,50,Approve
TXN_365,100,0,60,100,40,48,57,OTP
TXN_366,90,0,60,0,0,0,27,Approve
TXN_367,100,50,60,100,0,48,61,OTP
TXN_368,90,0,60,100,40,40,54,OTP
TXN_369,100,0,100,100,40,62,65,OTP
TXN_370,100,0,100,100,40,48,63,OTP
TXN_371,100,50,100,100,40,48,73,Block
TXN_372,100,0,100,50,40,48,55,OTP
TXN_373,100,50,60,100,40,52,67,OTP
TXN_374,100,0,60,50,40,0,42,Approve
TXN_375,100,50,60,100,40,0,60,OTP
TXN_376,100,0,60,100,0,0,44,Approve
TXN_377,50,50,100,100,40,48,63,OTP
TXN_378,100,0,60,100,40,48,57,OTP
TXN_379,50,50,60,100,40,52,57,OTP
TXN_380,100,50,60,100,0,52,61,OTP
TXN_381,100,0,100,100,0,0,50,Approve
TXN_382,100,0,100,100,40,48,63,OTP
TXN_383,50,50,100,100,40,0,56,OTP
TXN_384,100,50,60,100,0,0,54,OTP
TXN_385,50,0,100,100,40,62,55,OTP
TXN_386,100,0,60,50,0,52,44,Approve
TXN_387,100,0,100,0,40,0,41,Approve
TXN_388,100,0,100,100,0,40,56,OTP
TXN_389,100,50,100,100,40,48,73,Block
TXN_390,90,0,100,50,40,62,55,OTP
TXN_391,100,0,100,50,0,0,42,Approve
TXN_392,100,0,60,100,40,62,59,OTP
TXN_393,100,40,100,100,40,52,71,Block
TXN_394,100,0,100,0,40,0,41,Approve
TXN_395,100,0,60,0,40,0,35,Approve
TXN_396,100,0,100,100,40,0,56,OTP
TXN_397,100,50,60,100,0,0,54,OTP
TXN_398,100,0,60,100,40,0,50,Approve
TXN_399,100,50,100,100,40,0,66,OTP
TXN_400,100,50,100,100,40,62,75,Block
TXN_401,100,50,100,100,0,0,60,OTP
TXN_402,100,0,60,100,0,62,53,OTP
TXN_403,100,50,60,100,40,0,60,OTP
TXN_404,50,50,100,100,0,0,50,Approve
TXN_405,100,0,100,100,0,0,50,Approve
TXN_406,100,0,100,100,40,0,56,OTP
TXN_407,100,0,60,50,40,0,42,Approve
TXN_408,100,50,60,0,40,0,45,Approve
TXN_409,100,0,100,100,40,52,63,OTP
TXN_410,100,90,100,50,40,52,74,Block
TXN_411,90,50,100,100,40,48,71,Block
TXN_412,100,0,60,100,40,40,56,OTP
TXN_413,90,50,100,100,40,40,70,Block
TXN_414,100,0,100,100,40,48,63,OTP
TXN_415,100,0,100,100,40,0,56,OTP
TXN_416,100,0,100,100,40,48,63,OTP
TXN_417,100,0,100,100,0,0,50,Approve
TXN_418,100,50,60,100,40,0,60,OTP
TXN_419,50,0,60,50,0,52,34,Approve
TXN_420,50,0,100,50,40,0,38,Approve
TXN_421,100,50,60,100,40,0,60,OTP
TXN_422,50,0,100,100,0,48,47,Approve
TXN_423,90,0,60,50,0,52,42,Approve
TXN_424,90,0,100,100,40,48,61,OTP
TXN_425,100,50,100,100,40,40,72,Block
TXN_426,100,50,100,100,40,0,66,OTP
TXN_427,90,50,60,100,0,0,52,OTP
TXN_428,90,0,100,100,0,0,48,Approve
TXN_429,100,0,60,50,40,62,51,OTP
TXN_430,90,50,60,100,40,0,58,OTP
TXN_431,100,0,60,100,0,52,51,OTP
TXN_432,100,0,100,100,0,62,59,OTP
TXN_433,90,0,100,100,0,0,48,Approve
TXN_434,100,0,60,100,40,0,50,Approve
TXN_435,100,0,100,100,40,0,56,OTP
TXN_436,50,50,100,100,0,0,50,Approve
TXN_437,90,50,100,100,40,48,71,Block
TXN_438,90,0,60,0,40,40,39,Approve
TXN_439,100,0,60,100,40,48,57,OTP
TXN_440,50,0,100,100,40,0,46,Approve
TXN_441,100,0,60,100,0,48,51,OTP
TXN_442,100,0,60,0,40,40,41,Approve
TXN_443,100,0,100,100,40,62,65,OTP
TXN_444,100,0,60,0,0,0,29,Approve
TXN_445,90,0,100,100,40,0,54,OTP
TXN_446,100,0,100,100,0,62,59,OTP
TXN_447,100,0,60,100,40,0,50,Approve
TXN_448,100,50,60,0,40,62,54,OTP
TXN_449,100,0,60,100,40,0,50,Approve
TXN_450,100,0,100,100,40,0,56,OTP
TXN_451,100,50,100,100,40,52,73,Block
TXN_452,90,0,100,100,40,0,54,OTP
TXN_453,50,50,100,50,40,0,48,Approve
TXN_454,100,0,100,50,0,62,51,OTP
TXN_455,90,50,100,100,40,0,64,OTP
TXN_456,100,0,60,100,40,0,50,Approve
TXN_457,100,50,100,100,40,0,66,OTP
TXN_458,90,0,60,50,40,62,49,Approve
TXN_459,100,0,100,0,40,0,41,Approve
TXN_460,90,0,60,100,40,40,54,OTP
TXN_461,90,0,100,0,40,48,46,Approve
TXN_462,100,0,100,0,40,52,48,Approve
TXN_463,100,0,100,100,40,0,56,OTP
TXN_464,100,0,60,50,40,52,50,Approve
TXN_465,100,50,100,100,0,48,67,OTP
TXN_466,100,0,100,100,0,52,57,OTP
TXN_467,100,0,100,50,40,40,54,OTP
TXN_468,100,50,100,100,0,0,60,OTP
TXN_469,100,0,100,100,0,0,50,Approve
TXN_470,100,50,100,100,40,0,66,OTP
TXN_471,90,0,100,50,40,52,54,OTP
TXN_472,50,0,60,100,40,48,47,Approve
TXN_473,100,0,100,100,40,0,56,OTP
TXN_474,90,50,100,100,0,0,58,OTP
TXN_475,90,0,100,100,40,0,54,OTP
TXN_476,50,0,100,100,40,0,46,Approve
TXN_477,90,50,100,100,0,40,64,OTP
TXN_478,100,0,60,50,0,48,43,Approve
TXN_479,90,0,60,100,0,0,42,Approve
TXN_480,50,0,100,50,0,52,40,Approve
TXN_481,100,50,100,100,40,48,73,Block
TXN_482,90,0,100,100,40,62,63,OTP
TXN_483,90,0,100,0,40,48,46,Approve
TXN_484,100,50,60,0,40,0,45,Approve
TXN_485,100,0,100,50,0,0,42,Approve
TXN_486,90,0,60,100,40,0,48,Approve
TXN_487,100,0,60,100,40,0,50,Approve
TXN_488,100,0,60,100,40,48,57,OTP
TXN_489,90,50,100,100,0,0,58,OTP
TXN_490,100,50,60,50,40,0,52,OTP
TXN_491,90,0,60,100,0,0,42,Approve
TXN_492,100,0,100,100,40,0,56,OTP
TXN_493,100,0,100,50,40,0,48,Approve
TXN_494,90,0,100,100,40,62,63,OTP
TXN_495,100,50,60,100,0,62,63,OTP
TXN_496,90,50,100,100,0,0,58,OTP
TXN_497,100,0,100,100,0,0,50,Approve
TXN_498,100,50,60,100,40,0,60,OTP
TXN_499,100,50,100,50,40,0,58,OTP
TXN_500,100,0,60,70,40,40,51,OTP
TXN_501,90,0,100,100,40,0,54,OTP
TXN_502,50,0,100,100,40,52,53,OTP
TXN_503,90,0,60,100,40,40,54,OTP
TXN_504,100,0,60,100,0,0,44,Approve
TXN_505,100,0,60,50,40,0,42,Approve
TXN_506,100,0,100,100,0,0,50,Approve
TXN_507,100,0,100,100,40,0,56,OTP
TXN_508,100,0,100,50,0,0,42,Approve
TXN_509,100,50,60,100,0,48,61,OTP
TXN_510,100,0,100,100,0,48,57,OTP
TXN_511,100,0,100,100,40,48,63,OTP
TXN_512,100,0,100,50,40,0,48,Approve
TXN_513,90,0,60,50,40,0,40,Approve
TXN_514,100,50,100,0,40,48,58,OTP
TXN_515,100,50,100,100,40,48,73,Block
TXN_516,100,50,60,0,0,48,46,Approve
TXN_517,90,0,60,100,0,0,42,Approve
TXN_518,100,0,100,50,40,40,54,OTP
TXN_519,100,0,100,100,0,0,50,Approve
TXN_520,100,0,100,100,0,0,50,Approve
TXN_521,100,0,100,50,40,0,48,Approve
TXN_522,50,0,100,0,0,48,32,Approve
TXN_523,50,50,100,100,40,52,63,OTP
TXN_524,100,0,100,100,40,48,63,OTP
TXN_525,50,50,100,50,40,0,48,Approve
TXN_526,100,0,60,100,0,48,51,OTP
TXN_527,100,0,100,100,40,0,56,OTP
TXN_528,100,0,60,0,40,0,35,Approve
TXN_529,100,0,60,0,40,48,42,Approve
TXN_530,90,0,100,100,40,40,60,OTP
TXN_531,100,0,60,100,0,0,44,Approve
TXN_532,100,0,100,100,40,0,56,OTP
TXN_533,100,50,100,100,0,48,67,OTP
TXN_534,100,0,100,100,40,0,56,OTP
TXN_535,100,0,60,100,40,48,57,OTP
TXN_536,100,0,100,100,40,48,63,OTP
TXN_537,90,0,60,50,0,0,34,Approve
TXN_538,90,0,100,100,40,0,54,OTP
TXN_539,100,50,100,50,40,40,64,OTP
TXN_540,100,50,60,100,0,40,60,OTP
TXN_541,100,0,100,100,0,0,50,Approve
TXN_542,100,0,100,100,40,0,56,OTP
TXN_543,50,0,60,100,40,0,40,Approve
TXN_544,100,50,100,100,40,48,73,Block
TXN_545,100,50,100,100,40,0,66,OTP
TXN_546,100,0,100,100,0,0,50,Approve
TXN_547,100,50,60,50,0,0,46,Approve
TXN_548,100,0,100,100,40,40,62,OTP
TXN_549,50,0,100,100,40,40,52,OTP
TXN_550,50,0,100,100,0,0,40,Approve
TXN_551,100,0,60,100,40,48,57,OTP
TXN_552,90,0,60,100,0,52,49,Approve
TXN_553,100,0,60,100,40,48,57,OTP
TXN_554,100,50,100,100,40,0,66,OTP
TXN_555,100,0,100,100,40,0,56,OTP
TXN_556,100,0,100,100,40,0,56,OTP
TXN_557,100,0,100,100,40,48,63,OTP
TXN_558,90,0,60,100,0,62,51,OTP
TXN_559,100,0,60,100,40,0,50,Approve
TXN_560,100,0,100,100,40,48,63,OTP
TXN_561,100,0,100,50,0,0,42,Approve
TXN_562,100,50,60,100,0,62,63,OTP
TXN_563,100,50,100,50,0,0,52,OTP
TXN_564,50,50,60,100,40,48,57,OTP
TXN_565,100,0,100,100,40,0,56,OTP
TXN_566,100,0,100,100,0,48,57,OTP
TXN_567,90,50,100,100,40,52,71,Block
TXN_568,100,0,100,0,0,0,35,Approve
TXN_569,100,0,100,100,40,0,56,OTP
TXN_570,100,0,60,100,0,0,44,Approve
TXN_571,90,50,100,100,40,0,64,OTP
TXN_572,100,0,60,50,40,0,42,Approve
TXN_573,100,50,100,100,40,62,75,Block
TXN_574,100,50,60,100,0,40,60,OTP
TXN_575,100,0,60,100,40,0,50,Approve
TXN_576,100,0,60,100,40,48,57,OTP
TXN_577,90,0,60,100,40,0,48,Approve
TXN_578,100,0,100,100,0,52,57,OTP
